label,message
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
spam,Free entry winner
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
ham,NUMBER minutes ii bush interview cbs no president since abraham lincoln has seen such horrific loss of life in a war on american soil no president since james madison nearly NUMBER years ago has seen the nation s capital city successfully attacked but one year ago president george w bush was thrown into the first great crisis of the NUMBERst century this is the president s story of september NUMBERth and the week america went to war NUMBER minutes ii spent two hours with mr bush one on air forc
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
spam,URL promote your products and services on thousands of classified sites simply the best way to sell on the internet no time to post an ad for your business struggling with numerous classified sites seeking effective means to promote your business all of these are great reasons for you to visit URL currently URL boasts a database of NUMBER NUMBER popular classified sites to which we will submit your classified ad quickly and effectively we will as well submit your business site url or logo url t
spam,Hurry limited offer
ham,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER french ship burns off yemen
spam,Text back
ham,"USA: Northwest preparing $1.8 bln offer for Portland.
Reuters English News Service, 10/05/01
Energy Security Concerns On Congressional Front Burner
Dow Jones Energy Service, 10/05/01
USA: CORRECTED - Future of US power grid at stake in Supreme Court case.
Reuters English News Service, 10/05/01
BRAZIL: Brazil readies guarantees for electricity sales.
Reuters English News Service, 10/05/01
Brazil To Guarantee Contracts In Wholesale Power Market
Dow Jones International News, 10/05/01
USA: UPDATE 1-"
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,\Wen u miss someone
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
spam,hyperlink hyperlink hyperlink hyperlink make money with your own free stuff website get your own free stuff website with URL there is no need to learn any programming skills your store is automatically set up for you of course you are welcome to customize your store using the tools offered in the owner s back office optional customization includes adding your own logo and changing color schemes you may also add as many as NUMBER stores to your account at no additional charge access to hundreds
ham,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER julian glover who worked on john major s autobiography for two years on why edwina currie wasn t in it
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
spam,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
spam,no term insurance permanent insurance is in diversified makes it better _____ better products better commissions better case design better service better marketing concepts _____ aggressive underwriting programs such as table NUMBER to standard on permanent cases other company term to permanent life insurance with non med underwriting simplified and guarantee issue programs for multi life cases low cost lifetime guarantees underwriting events diversified brokerage specialists has been combining
